newID,Study_Number,Utterance_Number,Search_Task,Task_Order,System_Number,Action,Speaker,Content,Duration,Speech_Act,Search_Action
21,1,7,Conference,1,0,Speech,Agent," I am trying to find the top artificial intelligence conferences in early 2020 and located in North America from the Website Guide to Research. This is the one which I found a conference on computer vision and pattern recognition. It will be held between June 16th 2020 and June 18 2020 at Seattle United States. There is another one AAAI conference on artificial intelligence. It will be held between February 7th 2020 in February 12 2020 at New York, United States.",43,S4,
23,1,8,Conference,1,0,Speech,User,"Can you repeat Joanna, can you repeat",14,S9,
24,1,9,Conference,1,0,Speech,Agent," I am trying to find the top artificial intelligence conferences in early 2020 and located in North America from the Website Guide to Research. This is the one which I found a conference on computer vision and pattern recognition. It will be held between June 16th 2020 and June 18 2020 at Seattle United States. There is another one AAAI conference on artificial intelligence. It will be held between February 7th 2020 in February 12 2020 at New York, United States.",36,S9,
25,1,11,Conference,1,0,Speech,User,Thank you Joanna,11,S7,
26,1,1,Perfume,2,1,Speech,User," Hi, Joanna",2,S12,
27,1,2,Perfume,2,1,Speech,Agent, Hi. I am Joanna. How may I help you Today?,5,S12,
28,1,3,Perfume,2,1,Speech,User, Joanna I want to buy a perfume for my dad for christmas.. My dad loves the smell of bergamot in perfumes.. can you suggest me a bergamot perfume with a cinamon node between the pricing of 100USD and 150USD,2,S1,
29,1,,Perfume,2,1,Search,Agent,,27,,SR1
30,1,4,Perfume,2,1,Speech,Agent, Can you restate your question?,3,S9,
31,1,5,Perfume,2,1,Speech,User,I want to buy a perfume for my dad for christmas.. My dad loves the smell of bergamot in perfumes.. can you suggest me a bergamot perfume which is under a 100USD or 150USD,4,S1,
32,1,,Perfume,2,1,Search,Agent,,19,,SR1
33,1,6,Perfume,2,1,Speech,Agent,"Based on your price preference I am going to use the query : ""men's perfume bergamot, less than a 100USD"" is that alright?",9,S5,
34,1,7,Perfume,2,1,Speech,User, Yes.,11,S10,
35,1,8,Perfume,2,1,Speech,Agent, Great. Give me a moment.,4,S2,
36,1,,Perfume,2,1,Search,Agent,,9,,SR3
37,1,9,Perfume,2,1,Speech,Agent, I am reading from the website bespokeunit. I am filtering those perfumes with Bergamot mentioned in the description These are the three perfumes for men and less than 100 U. S. Dollars.,13,S4,
38,1,10,Perfume,2,1,Speech,Agent," One Giorgio Armani Code suitable for winter. Best price is 85 dollars for 125 millilitres. Contains Bergamot, Lemon, Pepper…. Two Jean Paul Gaultier.. Ultra Male.. Suitable for fall and winter.. Best price is 71 dollars for 125 millilitres.. Contains Pear, Bergamot and lavender and.... Three Viktor and Rolf.. Spicebomb.. Suitable for winter... Best price is 52 dollars for 50 millilitres... Contains Bergamot, Pepper, and Elemi",42,S4,
39,1,11,Perfume,2,1,Speech,User,Thank you Joanna,-518,S7,
40,2,1,Sickness,0,0,Speech,User," hi, Joanna",2,S12,
41,2,2,Sickness,0,0,Speech,Agent,Hi I am Joanna. How may I help you today?,6,S12,
42,2,3,Sickness,0,0,Speech,User,Joanna I am sneezing. Can you tell me the weather outside?,15,S1,
43,2,,Sickness,0,0,Search,Agent,,10,,SR2
44,2,4,Sickness,0,0,Speech,Agent, the weather is eight degrees Celsius.,4,S4,
45,2,5,Sickness,0,0,Speech,User,eight degree celcius? but Joanna how is the weather in May in North America?,14,S1,
46,2,6,Sickness,0,0,Speech,Agent, I could not hear you properly. Can you please repeat it,4,S9,
47,2,7,Sickness,0,0,Speech,User,Joanna how is the weather in May in North America?,9,S1,
48,2,8,Sickness,0,0,Speech,Agent, Do you have any specific preferences,3,S5,
49,2,9,Sickness,0,0,Speech,User, in New Jersey?,3,S6,
50,2,,Sickness,0,0,Search,Agent,,33,,SR2
51,2,10,Sickness,0,0,Speech,Agent, Okay. Please let me look into it.,38,S2,
52,2,11,Sickness,0,0,Speech,Agent," According to Google, average weather in May in Atlantic City, New Jersey, United States daily high temperatures increased by nine degrees Fahrenheit from 65 degrees Fahrenheit to 74 degrees Fahrenheit. Rarely falling below 55 degrees Fahrenheit or exceeding 84 degrees Fahrenheit.",22,S4,
53,2,12,Sickness,0,0,Speech,User," Joanna, I'm sneezing in 74 degrees Fahrenheit heat. Can you tell me the reason for that?",21,S1,
54,2,13,Sickness,0,0,Speech,Agent, Can you tell me more about what you are looking for?,4,S5,
55,2,14,Sickness,0,0,Speech,User, I'm sneezing and my eyes are red and watery. I don't know why is that happening?,9,S6,
56,2,,Sickness,0,0,Search,Agent,,10,,SR3
57,2,15,Sickness,0,0,Speech,Agent," This might be a cause. This is from Cigna: allergic rhinitis, often called allergies or hay fever occurs When your immune system overreacts to particles in the air that you breathe, you are allergic to them. Your immune system attacks the particles in your body causing symptoms such as sneezing and runny nose",26,S4,
58,2,16,Sickness,0,0,Speech,User, Can you tell me the remedy of this hay fever?,0,S1,
59,2,,Sickness,0,0,Search,Agent,,12,,SR3
60,2,17,Sickness,0,0,Speech,Agent," There is no permanent cure for allergic rhinitis. One of the best things you can do is to avoid the things that cause your allergies. You can take anti histamines to treat allergies. You can also use decongestants to relieve a stuffy nose and Sinus pressure. Eye drops and nasal sprays can help relieve from itchiness. Your doctor may recommend immunotherapy or allergy shots. If you have severe allergies,",29,S4,
61,2,18,Sickness,0,0,Speech,User, can you please tell me any home remedies for hay fever and allergies?,9,S1,
62,2,19,Sickness,0,0,Speech,Agent, Okay. Please let me look into it. Give me a few minutes.,6,S2,
63,2,,Sickness,0,0,Search,Agent,,7,,SR3
64,2,20,Sickness,0,0,Speech,Agent, This is the information which I found on healthline. You could use a dehumidifier or a high efficiency particulate air filter. eye drops and  nasal sprays can also help relieve the itchiness,24,S4,
65,2,21,Sickness,0,0,Speech,User, Bye Joanna. Thank you.,3,S12,
66,2,22,Sickness,0,0,Speech,Agent, Did you find what you were looking for?,3,S5,
67,2,23,Sickness,0,0,Speech,User, Yes. I found what I was looking for. It was a great talk,4,S7,
68,2,24,Sickness,0,0,Speech,Agent,Is there anything else I could,5,S11,
69,2,25,Sickness,0,0,Speech,User, bye Joanna,7,S12,
71,2,1,Perfume,1,0,Speech,User, Hi Joanna  Hi Joanna,7,S12,
72,2,1,Perfume,1,0,Speech,Agent,Hi I am Joanna. How may I help you today?,4,S12,
73,2,3,Perfume,1,0,Speech,User,Joanna I am looking for a men's perfume can you give me some options,12,S1,
74,2,4,Perfume,1,0,Speech,Agent, Do you have any specific preferences?,3,S5,
75,2,5,Perfume,1,0,Speech,User, I prefer Bergamot but then I want to look around what is in the market,9,S6,
76,2,6,Perfume,1,0,Speech,Agent, Okay. Please let me look into it. Give me a few minutes.,4,S2,
77,2,7,Perfume,1,0,Speech,User, No problem take your time,3,S11,
78,2,,Perfume,1,0,Search,Agent,,14,,SR3
79,2,8,Perfume,1,0,Speech,Agent, This is when I found from men's magazine G Q one byredo Palermo two Tom Ford Private blend in Venetian Bergamot Three Atelier Cologne Bergamotte and four Soleil Absolue. A couple of these perfumes are known for the Bergamot aroma. Do you want to know more about any of the above Perfumes?,23,S4,
80,2,9,Perfume,1,0,Speech,User," So, what's the price of Tom Ford Bergamot",7,S1,
81,2,,Perfume,1,0,Search,Agent,,6,,SR3
82,2,10,Perfume,1,0,Speech,Agent," Tom Ford. Private blend, Venetian Bergamot £238.",7,S4,
83,2,11,Perfume,1,0,Speech,User," No, I want to know the price in US dollars",5,S6,
84,2,,Perfume,1,0,Search,Agent,,8,,SR2
85,2,12,Perfume,1,0,Speech,Agent, Tom Ford Private blend Venetian Bergamot 306.52 United States dollars.,12,S4,
86,2,13,Perfume,1,0,Speech,User,Joanna do you have something around 100 to 150 US dollars in bergamot,13,S1,
87,2,14,Perfume,1,0,Speech,Agent, Can you tell me more about what you are looking for?,3,S5,
88,2,15,Perfume,1,0,Speech,User," I'm looking for a bergamot, but if I feel like I can also go with other flavors other scents its like bergamot is not that I want a hundred percent. I am looking around, I prefer Bergamot but if I like something apart from Bergamot I can of about it",5,S6,
89,2,,Perfume,1,0,Search,Agent,,11,,SR3
90,2,16,Perfume,1,0,Speech,Agent, I am reading from the website bespokeunit. I am filtering those perfumes with Bergamot Mentioned in the description. These are the three perfumes for men and less than 100 U. S. Dollars.,12,S4,
91,2,17,Perfume,1,0,Speech,Agent," One Giorgio Armani Code suitable for winter Best price is $85 for 125 milliliters. Contains Bergamot, Lemon, pepper",13,S4,
92,2,18,Perfume,1,0,Speech,Agent, two Jean Paul Gautier. Ultra male suitable for fall and winter Best price is $71 for 125 millilitres. ,14,S4,
93,2,19,Perfume,1,0,Speech,User,The one that is 71 dollars,14,S6,
94,2,20,Perfume,1,0,Speech,Agent, I'm having a problem processing the request. Can you restate the question slowly?,6,S9,
95,2,21,Perfume,1,0,Speech,User,What was the name of the perfume that you just said Bergamot for 71 dollars,31,S1,
96,2,22,Perfume,1,0,Speech,Agent, let me look into it. Give me a few minutes.,3,S11,
97,2,23,Perfume,1,0,Speech,User, No problem.,11,S11,
98,2,24,Perfume,1,0,Speech,Agent," Jean Paul Gautier. Ultra male suitable for fall and winter Best price is $71 for 125 milliliters. Contains pear, mint, Bergamot and lavender",15,S4,
99,2,25,Perfume,1,0,Speech,User, What What are other perfumes who have uhh under 150 dollars and have lavender scent.. uhh lavender and lemon scent,20,S1,
100,2,26,Perfume,1,0,Speech,Agent, Okay. Please let me look into it. Give me a few minutes.,6,S11,
101,2,,Perfume,1,0,Search,Agent,,43,,SR1
102,2,,Perfume,1,0,Search,Agent,,43,,SR3
103,2,27,Perfume,1,0,Speech,Agent, Can you tell me more about what you're looking for?,3,S5,
104,2,28,Perfume,1,0,Speech,User, I'm looking for bergamot and lavender together and looking in between 100 and 150 US dollars and the best ones in the market,18,S6,
105,2,29,Perfume,1,0,Speech,Agent, Please give me a moment to search,5,S11,
106,2,,Perfume,1,0,Search,Agent,,40,,SR1
107,2,,Perfume,1,0,Search,Agent,,40,,SR3
108,2,30,Perfume,1,0,Speech,Agent," According to the sephora.com Yves ST Laurent l'Homme Cologne bleue is 116 U. S. Dollars and contains Bergamot, Marine accord and Cardamom scent.",16,S4,
109,2,31,Perfume,1,0,Speech,User, What are my other options?,4,S1,
110,2,,Perfume,1,0,Search,Agent,,10,,SR3
111,2,32,Perfume,1,0,Speech,User,What are my other options with bergamot and lavender under 150 dollars US dollars,22,S1,
112,2,33,Perfume,1,0,Speech,Agent, Okay. Please let me look into it.,5,S11,
113,2,34,Perfume,1,0,Speech,User,Joanna can you please do little quick,9,S12,
114,2,,Perfume,1,0,Search,Agent,,7,,SR3
115,2,35,Perfume,1,0,Speech,Agent,Bergamot and Lavender Colognes are very unique. I would suggest the Jean Paul Gautier Ultra Male.,60,S4,
116,2,36,Perfume,1,0,Speech,Agent, Did you find what you were looking for?,3,S5,
117,2,37,Perfume,1,0,Speech,User," Yes, I did find what I was looking for. And the Bergamot and lavender perfume which you want is 71 dollar right?",16,S7,
118,2,38,Perfume,1,0,Speech,Agent, correct,8,S10,
119,2,39,Perfume,1,0,Speech,User,Bye Joanna,3,S12,
120,2,40,Perfume,1,0,Speech,Agent, It is always great talking to you bye,9,S11,
121,2,1,Conference,2,1,Speech,User,Hi Joanna,3,S12,
122,2,2,Conference,2,1,Speech,Agent," Hi. I am Joanna, How may I help you today?",5,S12,
123,2,3,Conference,2,1,Speech,User, So when is the artificial intelligence conference conducted in north america in 2020,42,S1,
124,2,4,Conference,2,1,Speech,Agent, There are multiple conferences. Would you like me to give you a list of conferences in North America in 2020?,6,S3,
125,2,5,Conference,2,1,Speech,User, Yes please,6,S10,
126,2,6,Conference,2,1,Speech,Agent, Okay. Please let me look into it. Give me a few minutes.,58,S11,
127,2,7,Conference,2,1,Speech,Agent, I am entering the query top conferences in artificial intelligence in North America in early 2020. Is that okay?,7,S5,
128,2,8,Conference,2,1,Speech,User, Yes.,3,S10,
129,2,,Conference,2,1,Search,Agent,,12,,SR3
130,2,9,Conference,2,1,Speech,Agent," I'm trying to find the top artificial intelligence conferences in early 2020 and located in North America from the website guide to research. This is the one which I found : Conference on Computer Vision and Pattern Recognition.. it will be held between June 16 and June 18, 2020 at Seattle, United States. There is another one: Triple AI Conference on Artificial Intelligence. It will be held between.. February 7, 2020 and February 12, 2020, at New York, United States",37,S4,
132,2,10,Conference,2,1,Speech,User, And what is the name of that conference that is held on February 7th in year?  In AI in artificial intelligence,11,S1,
133,2,11,Conference,2,1,Speech,Agent, Triple AI conference on artificial intelligence.,13,S4,
134,2,13,Conference,2,1,Speech,User," Can you tell me something that is a available around February. It can be in Europe or North America. Artificial intelligence conference. It doesn't have to be in North America, it can be Europe but it should be in the month of February or March and not until June.",47,S1,
135,2,14,Conference,2,1,Speech,Agent, Would you like me to query top AI conferences in February 2020,4,S5,
136,2,15,Conference,2,1,Speech,User,Yes,6,S10,
137,2,16,Conference,2,1,Speech,Agent, Okay. Please let me look into it.,6,S11,
138,2,,Conference,2,1,Search,Agent,,53,,SR1
139,2,,Conference,2,1,Search,Agent,,53,,SR3
140,2,17,Conference,2,1,Speech,Agent," The only conference being held in February 2020 strictly on AI is Triple AI conference on artificial intelligence. It will be held between February 7th 2020 and February 12 2020 at New York, United States.",17,S4,
141,2,18,Conference,2,1,Speech,User," Okay Joanna, what is the difference but what is the main difference between artificial intelligence conference and natural language processing conference.",32,S1,
142,2,19,Conference,2,1,Speech,Agent, I'm going to query difference between natural language processing and artificial intelligence. Is that okay?,7,S5,
143,2,20,Conference,2,1,Speech,User,Conferences,14,S8,
144,2,21,Conference,2,1,Speech,Agent, I'm going to query difference between natural language processing conferences and artificial intelligence conference. Is that okay?,7,S5,
145,2,22,Conference,2,1,Speech,User,That is okay,5,S10,
146,2,,Conference,2,1,Search,Agent,,30,,SR1
147,2,,Conference,2,1,Search,Agent,,30,,SR2
148,2,23,Conference,2,1,Speech,Agent," According to Google, in simpler terms NLP is concerned with making the computer understand the language which is used by human beings. After technopedia, artificial intelligence (AI) is an area of computer science that emphasizes the creation of intelligent machines that work and react like human. These conferences take these topics and expand with varying ideas.",44,S4,
149,2,,Conference,2,1,Search,Agent,,15,,SR3
150,2,24,Conference,2,1,Speech,Agent," Okay, Please let me look into it. Give me a few minutes.",51,S11,
151,2,25,Conference,2,1,Speech,Agent, I am entering the query top Artificial Intelligence Conferences held in Europe in the month of May. Is that okay?,7,S5,
152,2,26,Conference,2,1,Speech,User, Yes. that is okay,2,S10,
153,2,27,Conference,2,1,Speech,Agent," I am trying to find the top artificial intelligence conferences in early 2020 and located in Europe from the website Guide to Research. This is the one which I found: International Conference on Language Resources and Evaluation. It will be held between May 13 2020 and May 15 2020 at Marseille, France",53,S4,
154,2,28,Conference,2,1,Speech,Agent, Did you find what you were looking for?,2,S5,
155,2,29,Conference,2,1,Speech,User, Yes.,9,S7,
156,2,30,Conference,2,1,Speech,Agent, Is there anything else I can help you with?,7,S11,
158,2,31,Conference,2,1,Speech,User," No, I'm good Joanna Bye Joanna",10,S11,
159,2,32,Conference,2,1,Speech,Agent, It is always great talking. Bye,-1745,S12,
160,3,1,Sickness,0,0,Speech,User," Hi, Joanna.",5,S12,
161,3,2,Sickness,0,0,Speech,Agent, Hi. I am Joanna. How may I help you today?,5,S12,
162,3,3,Sickness,0,0,Speech,User, What is the cause of sneezing Every morning and red watery eyes,9,S1,
163,3,4,Sickness,0,0,Speech,Agent," Okay, Please let me look into it.",6,S11,
164,3,,Sickness,0,0,Search,Agent,,13,,SR2
165,3,5,Sickness,0,0,Speech,Agent," This is what I found from the top results. Allergic rhinitis, often called allergies or hay Fever occurs when your immune system overreacts to particles in the air that you breathe. Pollen is the most common allergen and seasonal allergic rhinitis.",30,S4,
166,3,6,Sickness,0,0,Speech,User," Hi, Joanna.",4,S12,
167,3,7,Sickness,0,0,Speech,Agent, Hi. I am Joanna. How may I help you?,5,S12,
168,3,8,Sickness,0,0,Speech,User, What medicine Help Allergies?,8,S1,
169,3,9,Sickness,0,0,Speech,Agent, I'm having a problem processing the request. Can you restate the question slowly?,3,S9,
170,3,,Sickness,0,0,Search,Agent,,28,,SR2
171,3,10,Sickness,0,0,Speech,User, What medicines help allergies?,9,S1,
172,3,11,Sickness,0,0,Speech,Agent, Please give me a moment to search.,27,S11,
173,3,12,Sickness,0,0,Speech,Agent, This is a summary of information found on Signa and HealthLine. There is no permanent cure for allergies. One of the best things you can do is to avoid the things that cause your allergies. You can take anti histamines to treat allergies.,31,S4,
174,3,13,Sickness,0,0,Speech,User, Bye Joanna,3,S12,
175,3,14,Sickness,0,0,Speech,Agent, It is always great talking to you. Bye.,11,S12,
176,3,1,Conference,1,0,Speech,User," Hi, Joanna.",4,S12,
177,3,2,Conference,1,0,Speech,Agent, Hi. I am Joanna. What kind of information are you looking for?,5,S12,
178,3,3,Conference,1,0,Speech,User, What is artificial intelligence?,5,S1,
179,3,4,Conference,1,0,Speech,Agent," Okay, Please let me look into it. Give me a few minutes.",7,S2,
180,3,,Conference,1,0,Search,Agent,,12,,SR1
181,3,,Conference,1,0,Search,Agent,,12,,SR2
182,3,5,Conference,1,0,Speech,Agent," Google's definition for artificial intelligence is the theory and development of computer systems able to perform tests that normally require human intelligence such a visual perception, speech recognition, decision making and translation between languages.",17,S4,
183,3,6,Conference,1,0,Speech,User,Joanna can you repeat,4,S9,
184,3,7,Conference,1,0,Speech,Agent," Google's definition for artificial intelligence is the theory and development of computer systems able to perform tests that normally require human intelligence such a visual perception, speech recognition, decision making and translation between languages.",36,S9,
185,3,8,Conference,1,0,Speech,User, What is natural language processing?,5,S1,
186,3,9,Conference,1,0,Speech,Agent," Okay, please let me look into it. Give me a few minutes.",6,S2,
187,3,,Conference,1,0,Search,Agent,,18,,SR1
188,3,,Conference,1,0,Search,Agent,,18,,SR2
189,3,10,Conference,1,0,Speech,Agent," According to Google, Natural Language Processing is a sub field of linguistics, computer science, information engineering and artificial intelligence concerned with the interactions between computers and human languages in particular had a program Computers to process and analyze large amounts of natural language data,",51,S4,
190,3,11,Conference,1,0,Speech,User, which are the top conferences in artificial intelligence?,7,S1,
191,3,12,Conference,1,0,Speech,Agent," Okay, please let me look into it. Give me a few minutes.",5,S11,
192,3,,Conference,1,0,Search,Agent,,20,,SR4
193,3,13,Conference,1,0,Speech,Agent," The top conferences in artificial intelligence are : conference on computer vision and pattern recognition with h Index of 240  neural information processing systems with the h Index of 169 and  European Conference on Computer Vision, with an H index of 137.  based on Quora You could also consider International Conference on Machine Learning or Triple A I conference on artificial Intelligence with H index of 135 and 95 respectively.",36,S4,
194,3,14,Conference,1,0,Speech,User, Can you repeat,6,S9,
195,3,15,Conference,1,0,Speech,Agent," The top conferences in artificial intelligence are : conference on computer vision and pattern recognition with h Index of 240  neural information processing systems with the h Index of 169 and  European Conference on Computer Vision, with an H index of 137.  based on Quora You could also consider International Conference on Machine Learning or Triple A I conference on artificial Intelligence with H index of 135 and 95 respectively.",52,S9,
196,3,16,Conference,1,0,Speech,User,Where is International Conference on machine Learning located?,9,S1,
197,3,17,Conference,1,0,Speech,Agent," Okay, please let me look into it. Give me a few minutes.",12,S11,
198,3,,Conference,1,0,Search,Agent,,7,,SR1
199,3,,Conference,1,0,Search,Agent,,7,,SR2
200,3,18,Conference,1,0,Speech,Agent," According to Google, the 38 International Conference on Machine Learning ICML 2020 will be held in Vienna, Austria, Monday, July 13th Saturday, July 18th 2020",16,S4,
201,3,19,Conference,1,0,Speech,User,Joanna can you repeat,3,S9,
202,3,20,Conference,1,0,Speech,Agent," According to Google, the 38 International Conference on Machine Learning ICML 2020 will be held in Vienna, Austria, Monday, July 13th Saturday, July 18th 2020",41,S9,
203,3,21,Conference,1,0,Speech,User, What is the artificial intelligence?,8,S1,
204,3,22,Conference,1,0,Speech,Agent," Okay, please let me look into it. Give me a few minutes.",6,S11,
205,3,,Conference,1,0,Search,Agent,,13,,SR1
206,3,,Conference,1,0,Search,Agent,,13,,SR2
207,3,23,Conference,1,0,Speech,Agent," According to Google, the theory and development of computer systems able to perform tests that normally require human intelligence Such a visual perception, speech recognition, decision making and translation between languages.",76,S4,
208,3,24,Conference,1,0,Speech,User,Bye Joanna,4,S12,
209,3,25,Conference,1,0,Speech,Agent," it is always great talking to you, bye",9,S12,
210,3,1,Perfume,2,1,Speech,User, Hi Joanna,5,S12,
211,3,2,Perfume,2,1,Speech,Agent," Hi, I am Joanna. How may I help you today?",5,S12,
212,3,3,Perfume,2,1,Speech,User,Search popular perfumes with Bergamot,6,S1,
213,3,4,Perfume,2,1,Speech,Agent, Okay. Please let me look into it.,19,S11,
214,3,,Perfume,2,1,Search,Agent,,13,,SR1
215,3,5,Perfume,2,1,Speech,Agent, Do you have any specific preferences?,3,S5,
216,3,6,Perfume,2,1,Speech,User,For men,5,S6,
217,3,,Perfume,2,1,Search,Agent,,5,,SR1
218,3,7,Perfume,2,1,Speech,Agent," Based on what you said, I'm running the query. Men's perfume Bergamot. Am I correct?",6,S5,
219,3,8,Perfume,2,1,Speech,User, Yes.,5,S10,
220,3,9,Perfume,2,1,Speech,Agent, Okay. Please let me look into it. Give me a few minutes.,7,S11,
221,3,,Perfume,2,1,Search,Agent,,16,,SR1
222,3,,Perfume,2,1,Search,Agent,,16,,SR2
223,3,10,Perfume,2,1,Speech,Agent, This is what I found from the top results. Popular men's perfume where the bergamot aroma are one Tom Ford Venetian Bergamot two Byredo Palermo three Rojo Parfums Elysium And four Aqua Di Parma. Do you want to know more about any of the above perfume?,22,S4,
224,3,11,Perfume,2,1,Speech,User,Tom Ford,1,S6,
225,3,,Perfume,2,1,Search,Agent,,4,,SR3
226,3,12,Perfume,2,1,Speech,Agent, Tom Ford. Private blend Venetian Bergamont. £238.,5,S4,
227,3,,Perfume,2,1,Search,Agent,,19,,SR2
228,3,13,Perfume,2,1,Speech,User, What is the price of that perfume,21,S1,
229,3,14,Perfume,2,1,Speech,Agent," Tom Ford Private blend, Venetian Bergamot 238 pounds or 307.20 United States dollars.",15,S4,
230,3,15,Perfume,2,1,Speech,User, What is the cheap alternative to that perfume,7,S1,
231,3,16,Perfume,2,1,Speech,Agent, I'm having a problem processing the request. Can you restate the question slowly?,6,S9,
232,3,17,Perfume,2,1,Speech,User, What is the cheaper alternative to that Tom Ford perfume,21,S1,
233,3,18,Perfume,2,1,Speech,Agent, Would you like to hear that other men's perfume with the Bergamot Aroma?,5,S5,
234,3,19,Perfume,2,1,Speech,User, Yes.,16,S10,
235,3,20,Perfume,2,1,Speech,Agent, Do you have a specific price range,5,S5,
236,3,,Perfume,2,1,Search,Agent,,8,,SR1
237,3,21,Perfume,2,1,Speech,User, under 100?,8,S1,
238,3,22,Perfume,2,1,Speech,Agent," Based on your price preference, I am going to use the query. Men's perfume. Bergamot. Less than 100 U. S. Dollars. Is that all right?",10,S5,
239,3,23,Perfume,2,1,Speech,User, Yeah.,5,S10,
240,3,24,Perfume,2,1,Speech,Agent, Please give me a moment to search.,4,S11,
241,3,,Perfume,2,1,Search,Agent,,6,,SR3
242,3,25,Perfume,2,1,Speech,Agent," I am reading from the website bespokeunit. I am filtering those perfumes with Bergamot Mentioned in the description These air the three perfume for men and less than $100.  One. Giorgio Armani Code suitable for winter Best price is $85 for 125 milliliters. Contains Bergamot, Lemon, pepper. ",12,S4,
243,3,26,Perfume,2,1,Speech,Agent," One. Giorgio Armani Code suitable for winter Best price is $85 for 125 milliliters. Contains Bergamot, Lemon, pepper  two Jean Paul Gautier. Ultra male suitable for fall and winter. Best price is $71 for 125 milliliters. Contains Peer mint Bergamot and lavender and three Viktor and Rolf Spice bomb suitable for winter. Best price is $52 for 50 millilitres contains Bergamot, pepper and Elemi",57,S4,
244,3,27,Perfume,2,1,Speech,User,Bye Joanna,4,S12,
245,3,28,Perfume,2,1,Speech,Agent, It is always great talking to you. Bye.,-1092,S12,
246,4,1,Sickness,0,0,Speech,User," Hi, Joanna.",4,S12,
247,4,2,Sickness,0,0,Speech,Agent, Hi. I am Joanna. How may I help you today?,5,S12,
248,4,3,Sickness,0,0,Speech,User, I've been sneezing all morning and have red watery eyes. Can you help me find the medication over the counter,9,S1,
250,4,4,Sickness,0,0,Speech,Agent, Hi. I am  okay. Please let me look into it. Give me a few minutes.,29,S12,
251,4,5,Sickness,0,0,Speech,Agent, I could not hear you properly. Can you please repeat it?,10,S9,
252,4,7,Sickness,0,0,Speech,User," I am sneezing since morning, can you tell me what is the cause of that?",10,S1,
254,4,8,Sickness,0,0,Speech,Agent, Okay. Please let me look into it. Give me a few minutes.  Can you tell me more about what You are looking for?,14,S11,
255,4,9,Sickness,0,0,Speech,User, I have read and watery eyes,13,S6,
256,4,11,Sickness,0,0,Speech,Agent," This is what I found from the top results. Allergic rhinitis, often called allergies or hay fever occurs when your immune system overreacts to particles in the air that you breathe. Pollen is the most common allergen and seasonal allergic rhinitis. Your immune system attacks the particles in your body, causing symptoms such as sneezing and a running nose.  These are allergy symptoms that occur with the change of seasons and are more common between April to August in North America.",31,S4,
257,4,12,Sickness,0,0,Speech,User,Joanna can you repeat?,4,S9,
258,4,13,Sickness,0,0,Speech,Agent," This is what I found from the top results. Allergic rhinitis, often called allergies or hay fever occurs when your immune system overreacts to particles in the air that you breathe. Pollen is the most common allergen and seasonal allergic rhinitis. Your immune system attacks the particles in your body, causing symptoms such as sneezing and a running nose.  These are allergy symptoms that occur with the change of seasons and are more common between April to August in North America.",39,S9,
259,4,,Sickness,0,0,Search,Agent,,35,,SR4
260,4,14,Sickness,0,0,Speech,User,What are some medication or home remedies I can do for the allergies,13,S1,
261,4,15,Sickness,0,0,Speech,Agent," Okay, please let me look into it. Give me a few minutes.",30,S11,
